# Result of the experimentation: segment4.arg

# With args:
# --> x_size = 100
# --> y_size = 200
# --> init_time_step = 1e-08
# --> space_step = 0.001
# --> CBL_cond = 100
# --> iter_number_solver = 1003
# --> iter_number_profiler = 1
# --> nb_of_threads = 12
# --> ->nb_pts = 3
# --> ->abs = 39
# --> ->abs = 129
# --> ->abs = 199
# --> ->ord = 89
# --> ->ord = 89
# --> ->ord = 89
# --> init_cond_type = 1
# --> iter_number_evol_chamber = 1000
# --> differential_equation_solver_algo = 4
# --> VDW_a_coef = 0
# --> VDW_b_coef = 0
# --> thermal_conduction = 1
# --> lambda = 0.6
# --> mol_mass = 0.018
# --> dyn_visc = 1e-06
# --> init_chamber_pressure = 200000
# --> init_chamber_temperature = 2000
# --> init_chamber_speed = 0
# --> init_chamber_turb_en = 1e-05
# --> init_chamber_turb_dis = 1e-05
# --> init_atmosphere_pressure = 124000
# --> init_atmosphere_temperature = 300
# --> init_atmosphere_speed = 0
# --> init_atmosphere_turb_en = 1e-06
# --> init_atmosphere_turb_dis = 1e-06

#              time         time_step            thrust      max pressure   max temperature      max vol_mass        max speed0        max speed1       max turb_en      max turb_dis

          1.45e-06             1e-08    -4.873772e-183          124085.5          300.0498         0.8953446      9.827379e-08          2.215238      1.001889e-06      1.002739e-06
          1.46e-06             1e-08    -1.815692e-183            135020             546.5         0.8953545      1.003296e-07           2.21476         2.305e-06         2.305e-06
          1.47e-06             1e-08    -8.066989e-183          124089.2          300.0521         0.8953643      1.023846e-07          2.276269      1.002012e-06      1.002919e-06
          1.48e-06             1e-08     -1.36023e-182            135172             549.9         0.8953744      1.044964e-07           2.27577         2.323e-06         2.323e-06
          1.49e-06             1e-08    -1.764512e-182            124093          300.0545         0.8953845      1.066074e-07          2.338107      1.002143e-06      1.003108e-06
           1.5e-06             1e-08     1.219562e-182            135324             553.3         0.8953949       1.08776e-07          2.337588         2.341e-06         2.341e-06
          1.51e-06             1e-08    -4.416211e-182          124096.9          300.0569         0.8954053      1.109436e-07          2.400753      1.002279e-06      1.003306e-06
          1.52e-06             1e-08    -2.580958e-182            135476             556.7         0.8954159      1.131697e-07          2.400212         2.359e-06         2.359e-06
          1.53e-06             1e-08     7.147882e-182          124100.8          300.0593         0.8954266      1.153947e-07          2.464205      1.002423e-06      1.003515e-06
          1.54e-06             1e-08     8.631946e-182            135628             560.1         0.8954375      1.176789e-07          2.463641         2.377e-06         2.377e-06
          1.55e-06             1e-08     3.595655e-182          124104.9          300.0619         0.8954484      1.199621e-07          2.528461      1.002574e-06      1.003734e-06
          1.56e-06             1e-08     1.713128e-181            135780             563.5         0.8954597      1.223052e-07          2.527874         2.395e-06         2.395e-06
          1.57e-06             1e-08     1.326753e-181          124109.1          300.0645         0.8954709      1.246471e-07           2.59352      1.002733e-06      1.003965e-06
          1.58e-06             1e-08     1.099529e-181            135932             566.9         0.8954824      1.270498e-07           2.59291         2.413e-06         2.413e-06
          1.59e-06             1e-08     8.350235e-182          124113.4          300.0672         0.8954939      1.294513e-07          2.659381      1.002899e-06      1.004206e-06
           1.6e-06             1e-08     1.747132e-181            136084             570.3         0.8955057      1.319142e-07          2.658748         2.431e-06         2.431e-06
          1.61e-06             1e-08    -1.044366e-181          124117.8            300.07         0.8955174      1.343759e-07          2.726044      1.003073e-06      1.004459e-06
          1.62e-06             1e-08     4.933476e-181            136236             573.7         0.8955295      1.368998e-07          2.725385         2.449e-06         2.449e-06
          1.63e-06             1e-08    -7.519064e-182          124122.3          300.0728         0.8955416      1.394225e-07          2.793506      1.003256e-06      1.004724e-06
          1.64e-06             1e-08     3.288332e-181            136388             577.1          0.895554       1.42008e-07          2.792822         2.467e-06         2.467e-06
          1.65e-06             1e-08     6.737989e-181            124127          300.0757         0.8955664      1.445923e-07          2.861766      1.003447e-06      1.005002e-06
          1.66e-06             1e-08     4.809236e-181            136540             580.5          0.895579      1.472402e-07          2.861057         2.485e-06         2.485e-06
          1.67e-06             1e-08     1.810894e-182          124131.7          300.0787         0.8955917      1.498867e-07          2.930824      1.003648e-06      1.005293e-06
          1.68e-06             1e-08     1.035244e-180            136692             583.9         0.8956047      1.525977e-07          2.930088         2.503e-06         2.503e-06
          1.69e-06             1e-08     2.279164e-180          124136.6          300.0818         0.8956177      1.553073e-07          3.000677      1.003857e-06      1.005597e-06
           1.7e-06             1e-08      2.79232e-180            136844             587.3         0.8956309      1.580819e-07          2.999914         2.521e-06         2.521e-06
          1.71e-06             1e-08     1.326448e-180          124141.6          300.0849         0.8956442      1.608552e-07          3.071325      1.004076e-06      1.005915e-06
          1.72e-06             1e-08    -1.887396e-180            136996             590.7         0.8956578      1.636943e-07          3.070534         2.539e-06         2.539e-06
          1.73e-06             1e-08     1.214671e-181          124146.7          300.0881         0.8956714      1.665319e-07          3.142767      1.004305e-06      1.006248e-06
          1.74e-06             1e-08    -8.403584e-181            137148             594.1         0.8956853      1.694361e-07          3.141947         2.557e-06         2.557e-06
          1.75e-06             1e-08    -4.521314e-181          124151.9          300.0914         0.8956992      1.723387e-07             3.215      1.004544e-06      1.006595e-06
          1.76e-06             1e-08     1.715421e-180            137300             597.5         0.8957134      1.753087e-07          3.214151         2.575e-06         2.575e-06
